recall,precision,fpr,auc,accuracy,id,execution_time,d_model,num_heads,num_layers,dropout,positional_encoding_type,learning_rate,batch_size,weight_decay,epochs,seed,seq_length,prediction_window,pct_move_threshold,rsi_period,macd_fast,macd_slow,macd_signal,atr_period,vol_spike_period,range_pos_period,ma_regime_period,ma_regime_thresh,pbr_period,pbr_band,pbr_k
0.264, 0.362, 0.277, 0.494, 0.553, 0, 304.03, 48, 8, 2, 0.15, rotary, 0.00025, 112, 0.0006, 75, 42, 90, 60, 0.001, 21, 10, 21, 5, 7, 14, 14, 14, 0.0005, 14, std, 0.5
0.211, 0.288, 0.24, 0.477, 0.587, 1, 354.08, 72, 2, 3, 0.2, rotary, 0.00015, 64, 0.0006, 50, 77, 60, 60, 0.0015, 10, 10, 21, 5, 7, 14, 14, 30, 0.0005, 14, dev_std, 1.0
0.232, 0.276, 0.252, 0.478, 0.596, 2, 490.51, 72, 8, 5, 0.18, rotary, 0.00015, 80, 0.00025, 50, 42, 45, 30, 0.0012, 10, 8, 21, 7, 5, 30, 10, 14, 0.0005, 14, std, 0.5
0.031, 0.283, 0.004, 0.694, 0.944, 3, 430.25, 64, 2, 4, 0.1, rotary, 0.0001, 96, 0.001, 65, 77, 90, 5, 0.0018, 21, 10, 17, 9, 10, 30, 14, 20, 0.0005, 14, dev_std, 0.75
0.263, 0.317, 0.226, 0.525, 0.629, 4, 457.97, 128, 2, 4, 0.2, rotary, 0.0004, 96, 0.0006, 75, 77, 45, 60, 0.0018, 10, 10, 21, 5, 10, 30, 10, 20, 0.0005, 20, std, 0.75
0.071, 0.331, 0.035, 0.543, 0.791, 5, 359.78, 64, 8, 2, 0.13, rotary, 0.00015, 64, 0.0001, 50, 42, 90, 10, 0.0012, 10, 10, 21, 7, 5, 30, 10, 30, 0.0001, 14, dev_std, 0.75
0.202, 0.211, 0.21, 0.494, 0.663, 6, 486.59, 128, 2, 2, 0.1, rotary, 0.00015, 32, 0.001, 50, 77, 45, 30, 0.0018, 10, 8, 21, 7, 10, 30, 20, 14, 0.0001, 20, dev_std, 0.5
0.416, 0.317, 0.471, 0.444, 0.49, 7, 571.77, 40, 8, 4, 0.2, rotary, 0.0004, 32, 0.001, 100, 2025, 45, 90, 0.0015, 10, 10, 21, 5, 7, 30, 10, 30, 0.0002, 20, std, 1.0
0.406, 0.27, 0.437, 0.493, 0.518, 8, 753.94, 56, 8, 4, 0.2, rotary, 0.0008, 128, 0.00025, 100, 42, 120, 60, 0.0018, 14, 10, 21, 7, 7, 20, 20, 30, 0.0002, 14, std, 0.75
0.351, 0.263, 0.353, 0.49, 0.569, 9, 665.08, 64, 8, 3, 0.25, rotary, 0.0004, 64, 0.0004, 100, 2025, 120, 60, 0.002, 21, 8, 26, 7, 10, 14, 14, 30, 0.0001, 14, dev_std, 1.0
0.043, 0.231, 0.018, 0.575, 0.879, 10, 433.66, 80, 8, 3, 0.25, rotary, 0.0001, 64, 0.0006, 75, 2025, 60, 10, 0.0018, 21, 10, 21, 5, 5, 30, 20, 20, 0.0001, 20, std, 1.0
0.073, 0.168, 0.032, 0.56, 0.896, 11, 731.98, 48, 8, 5, 0.18, rotary, 0.0008, 32, 0.0008, 65, 2025, 60, 5, 0.0015, 14, 10, 26, 5, 7, 20, 20, 14, 0.0002, 14, dev_std, 0.5
0.041, 0.089, 0.018, 0.624, 0.944, 12, 342.89, 48, 2, 3, 0.13, rotary, 0.0008, 112, 0.001, 75, 42, 105, 5, 0.002, 21, 12, 17, 7, 5, 20, 14, 30, 0.0001, 20, dev_std, 0.5
0.099, 0.305, 0.062, 0.531, 0.757, 13, 510.02, 48, 8, 2, 0.13, rotary, 0.0001, 64, 0.00015, 65, 42, 120, 30, 0.0018, 14, 10, 17, 7, 5, 14, 20, 14, 0.0002, 14, dev_std, 0.75
0.213, 0.324, 0.205, 0.517, 0.612, 14, 469.33, 80, 4, 4, 0.1, rotary, 0.0006, 48, 0.0008, 75, 77, 45, 60, 0.0015, 10, 10, 17, 7, 5, 14, 10, 30, 0.0002, 14, dev_std, 1.0
